fips,Total Cases,Total Deaths,Count
20029.0,274,0,74
20025.0,1096,0,53
20023.0,93,0,47
20021.0,621,0,88
20019.0,269,0,76
20017.0,159,0,59
20015.0,1615,0,94
20013.0,208,0,42
20007.0,69,0,69
20083.0,91,0,24
20171.0,472,0,69
20087.0,998,0,81
20097.0,108,0,53
20159.0,189,0,53
20157.0,274,0,71
20155.0,2760,0,87
20151.0,92,0,75
20149.0,1271,0,83
20147.0,96,0,65
20145.0,33,0,12
20143.0,270,0,80
20141.0,145,0,73
20139.0,441,0,80
20137.0,93,0,45
20135.0,66,0,28
20133.0,177,0,82
20131.0,425,0,48
20129.0,245,0,70
20127.0,269,0,88
20123.0,243,0,85
20121.0,402,0,79
20119.0,1082,0,52
20113.0,1714,0,80
20107.0,572,0,88
20101.0,78,0,24
20099.0,1485,0,76
20089.0,262,0,72
21171.0,700,0,71
21173.0,1211,0,95
21175.0,100,0,64
27117.0,474,0,71
27115.0,4160,0,68
27113.0,643,0,55
27107.0,622,0,61
27101.0,1586,0,70
27089.0,423,0,57
27085.0,1225,0,72
27081.0,268,0,80
27075.0,39,0,39
27073.0,154,0,84
27071.0,263,0,74
27069.0,58,0,58
27063.0,1715,0,86
27059.0,1245,0,78
27057.0,69,0,23
27055.0,133,0,71
27051.0,132,0,44
27047.0,5173,0,75
27043.0,764,0,80
27041.0,1352,0,78
27039.0,2339,0,86
27033.0,3086,0,78
27031.0,2,0,2
27121.0,292,0,41
27029.0,187,0,79
27125.0,150,0,64
27129.0,369,0,93
29023.0,1875,0,75
29017.0,336,0,81
29015.0,563,0,81
29011.0,4,0,4
29009.0,432,0,80
29005.0,168,0,80
29003.0,955,0,65
29001.0,2143,0,84
28141.0,1167,0,76
28131.0,1627,0,71
28125.0,388,0,80
28119.0,1477,0,81
28009.0,844,0,81
27173.0,298,0,75
27165.0,2470,0,77
27161.0,1097,0,92
27159.0,297,0,48
27157.0,966,0,86
27155.0,212,0,76
27149.0,19,0,18
27147.0,5582,0,86
27135.0,119,0,69
27133.0,1009,0,64
27127.0,232,0,70
27017.0,4014,0,76
27011.0,278,0,84
27007.0,724,0,80
22035.0,4341,0,79
22023.0,279,0,69
21239.0,1653,0,80
21237.0,27,0,27
21235.0,745,0,68
21233.0,1791,0,81
21231.0,544,0,82
21229.0,400,0,79
21225.0,695,0,81
21223.0,237,0,66
21221.0,551,0,64
21219.0,987,0,69
21215.0,1072,0,86
21209.0,2390,0,88
21205.0,326,0,65
21203.0,815,0,76
21197.0,92,0,76
21193.0,961,0,72
21191.0,496,0,74
21189.0,132,0,64
21187.0,87,0,48
21183.0,6675,0,72
21181.0,127,0,79
22107.0,483,0,65
23015.0,1192,0,92
23017.0,1516,0,90
23021.0,57,0,57
27005.0,1505,0,65
27001.0,292,0,59
26153.0,235,0,68
26143.0,1221,0,85
26141.0,620,0,70
26133.0,690,0,79
26123.0,3690,0,84
26119.0,296,0,63
26109.0,377,0,66
26105.0,1363,0,69
26097.0,422,0,75
38091.0,29,0,29
26095.0,127,0,73
26085.0,238,0,65
26083.0,5,0,5
26071.0,23,0,13
26061.0,234,0,77
26019.0,243,0,58
26013.0,60,0,60
